date,point,gift_code
2019-11-28,5.3,1
2019-11-29,10,0
2019-11-30,10,3
2019-12-01,6.2,0
2019-12-02,5.8,1
2019-12-03,10.0,0
2019-12-04,8.3,0
2019-12-05,11.0,1
2019-12-06,6.7,0
2019-12-07,8.3,1
2019-12-09,11.0,1
2019-12-10,-1.0,0
2019-12-11,-0.5,1
2019-12-12,3.0,1
2019-12-13,2.5,3
2019-12-14,0.0,2
2019-12-16,0.0,2
2019-12-17,2.5,2
2019-12-18,0.0,0
2019-12-19,0.0,0
2019-12-20,0.0,0
2019-12-21,0.0,0
2019-12-23,3.5,0
2019-12-24,5.8,0
2019-12-26,2.5,0
2019-12-27,3.5,0
2019-12-28,5.5,1
2019-12-30,8.0,0
